Id,Title,Description,Status,Priority,Assigned,CreatedDate,UpdatedDate,TaskCode,ProjectId
1,Реализовать отправку email,Добавить страницу настроек проекта,Review,Medium,alex,2026-01-26T00:00:00,,KAN-1,3
2,Реализовать кэширование запросов,Добавить роли пользователей,InProgress,Medium,maria,2026-03-26T00:00:00,,KAN-2,5
3,Добавить индексы для таблиц,Реализовать кэширование запросов,ToDo,High,ivan,2026-03-01T00:00:00,,KAN-3,1
4,Реализовать дополнительную бизнес-логику,Реализовать шаблоны уведомлений,Review,Medium,anna|olga,2026-03-16T00:00:00,,KAN-4,5
5,Добавить журнал отправленных уведомлений,Исправить нестабильное поведение функции,Review,Low,john,2026-02-27T00:00:00,,KAN-5,4
6,Улучшить производительность доски,Реализовать поиск задач,Done,High,olga,2026-01-06T00:00:00,2026-01-23T00:00:00,KAN-6,2
7,Проверить целостность данных,Добавить двухфакторную аутентификацию,ToDo,Low,alex|anna,2026-01-22T00:00:00,,KAN-7,4
8,Добавить дедлайны задач,Добавить страницу настроек проекта,Review,High,maria|olga,2026-01-27T00:00:00,,KAN-8,3
9,Обновить механизм сессий,Оптимизировать текущую реализацию,InProgress,High,maria|john,2026-04-11T00:00:00,2026-04-29T00:00:00,KAN-9,2
10,Добавить логирование ошибок авторизации,Иногда возникает ошибка при работе с API,ToDo,High,ivan|anna,2026-02-24T00:00:00,2026-03-04T00:00:00,KAN-10,1
11,Реализовать новую функцию интерфейса,Добавить роли пользователей,ToDo,Medium,ivan|olga,2026-03-26T00:00:00,2026-03-26T00:00:00,KAN-11,5
12,Добавить обработку ошибок отправки,Добавить журнал отправленных уведомлений,Review,Medium,ivan,2026-01-23T00:00:00,2026-01-24T00:00:00,KAN-12,4
13,Исправить проблему с блокировками,Добавить новые связи между таблицами,ToDo,Medium,olga,2026-03-21T00:00:00,,KAN-13,4
14,Реализовать дополнительную бизнес-логику,Добавить обработку ошибок БД,ToDo,Low,ivan,2026-01-10T00:00:00,2026-01-15T00:00:00,KAN-14,5
15,Добавить проверку токена,Добавить обработку ошибок,InProgress,Medium,john,2026-01-16T00:00:00,2026-02-02T00:00:00,KAN-15,5
16,Добавить настройку частоты уведомлений,Добавить метки задач,InProgress,Low,anna,2026-03-16T00:00:00,,KAN-16,3
17,Оптимизировать процесс входа,Иногда возникает ошибка при работе с API,ToDo,Low,alex|ivan,2026-02-09T00:00:00,,KAN-17,3
18,Реализовать отправку email,Оптимизировать текущую реализацию,ToDo,High,anna,2026-01-03T00:00:00,,KAN-18,3
19,Исправить проблему drag and drop,Реализовать поиск задач,ToDo,High,alex|ivan,2026-01-05T00:00:00,2026-01-20T00:00:00,KAN-19,5
20,Добавить обработку ошибок БД,Оптимизировать транзакции,ToDo,High,maria,2026-03-10T00:00:00,2026-03-13T00:00:00,KAN-20,5
21,Обновить интерфейс страницы,Добавить дедлайны задач,InProgress,Low,olga|ivan,2026-02-10T00:00:00,2026-02-27T00:00:00,KAN-21,5
22,Добавить проверку токена,Пользователь может выполнить действие с некорректными данными,InProgress,Medium,john|anna,2026-03-22T00:00:00,2026-03-27T00:00:00,KAN-22,5
23,Исправить проблему с блокировками,Оптимизировать транзакции,InProgress,Low,ivan,2026-02-20T00:00:00,2026-02-28T00:00:00,KAN-23,4
24,Добавить журнал изменений БД,Добавить обработку ошибок БД,InProgress,Medium,ivan,2026-01-26T00:00:00,2026-02-09T00:00:00,KAN-24,1
25,Реализовать отправку email,Реализовать новую функцию интерфейса,ToDo,Medium,maria|olga,2026-01-28T00:00:00,,KAN-25,2
26,Улучшить производительность доски,Добавить двухфакторную аутентификацию,InProgress,Medium,olga|ivan,2026-01-07T00:00:00,2026-01-11T00:00:00,KAN-26,2
